doc_id,title,source_type,last_reviewed,owner
handbook_01_registration,Registration and Eligibility,handbook,2026-06-01,secretary
handbook_02_subs,Subscriptions and Payment,handbook,2026-06-01,secretary
handbook_03_kit,Kit and Equipment,handbook,2026-06-01,secretary
policy_01_photo,Photography and Media Consent,policy,2026-06-01,welfare officer
policy_02_conduct,Code of Conduct,policy,2026-06-01,welfare officer
policy_03_travel,Away Travel,policy,2026-06-01,welfare officer
policy_04_weather,Adverse Weather and Cancellation,policy,2026-06-01,welfare officer
policy_05_injury,Injury and Return to Play,policy,2026-06-01,welfare officer
policy_06_safeguarding,Safeguarding Basics,policy,2026-06-01,welfare officer
faq_01_joining,How do I join?,faq,2026-06-01,secretary
faq_02_agegroups,Which age group is my child in?,faq,2026-06-01,secretary
faq_03_missing,What if we miss a session?,faq,2026-06-01,secretary
faq_04_volunteer,Can I volunteer?,faq,2026-06-01,secretary
faq_05_refunds,Can I get a refund?,faq,2026-06-01,secretary
ops_01_pitchbooking,Pitch Booking Procedure,ops,2026-06-01,fixtures secretary
ops_02_matchday,Match Day Checklist,ops,2026-06-01,fixtures secretary
ops_03_equipment,Equipment Inventory,ops,2026-06-01,fixtures secretary
ops_04_comms,Communications,ops,2026-06-01,fixtures secretary
notes_01_committee,Committee Meeting Notes — Facilities,notes,2026-06-01,chair
notes_02_committee,Committee Meeting Notes — Volunteers,notes,2026-06-01,chair
