doc_id,bytes,word,char
faq_01_joining,219,45,219
faq_02_agegroups,222,53,222
faq_03_missing,237,45,237
faq_04_volunteer,206,40,206
faq_05_refunds,197,39,197
handbook_01_registration,623,112,623
handbook_02_subs,603,102,603
handbook_03_kit,477,90,477
notes_01_committee,349,60,347
notes_02_committee,340,56,338
ops_01_pitchbooking,409,71,409
ops_02_matchday,350,69,350
ops_03_equipment,327,65,327
ops_04_comms,336,61,336
policy_01_photo,645,111,645
policy_02_conduct,533,94,533
policy_03_travel,406,76,406
policy_04_weather,417,71,417
policy_05_injury,402,77,402
policy_06_safeguarding,371,61,371
