doc_id,bytes,word,char,subword
faq_01_joining,219,45,219,45
faq_02_agegroups,222,53,222,53
faq_03_missing,237,45,237,45
faq_04_volunteer,206,40,206,40
faq_05_refunds,197,39,197,40
handbook_01_registration,623,112,623,114
handbook_02_subs,603,102,603,108
handbook_03_kit,477,90,477,93
notes_01_committee,354,62,349,66
notes_02_committee,345,58,340,61
ops_01_pitchbooking,409,71,409,78
ops_02_matchday,350,69,350,73
ops_03_equipment,327,65,327,68
ops_04_comms,336,61,336,61
policy_01_photo,645,111,645,112
policy_02_conduct,533,94,533,98
policy_03_travel,406,76,406,82
policy_04_weather,417,71,417,76
policy_05_injury,402,77,402,80
policy_06_safeguarding,371,61,371,67
